,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,latitude,longitude,lat_3857,lon_3857
10,1956633003,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/73300324,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Bloemendaal - Heemtuin Thijsse's Hof,Noord-Holland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.4,4.6,5000.0,,,,,,2012-05-28T00:00:00Z,28,5,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.73300324,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.967Z,,,52.404850567411,4.6126216650009,513474.6949699219,6873661.276465651
11,1956941890,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/72266814,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,'s-Hertogenbosch - Maaspoort,Noord-Brabant,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.7,5.3,5000.0,,,,,,2012-09-15T00:00:00Z,15,9,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.72266814,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.210Z,,,51.721129859899996,5.30044734478,590043.0993974686,6749858.371535138
12,1956954480,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/72202802,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Oostkapelle - Wijkhuijsweg e.o.,Zeeland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.55,3.55,5000.0,,,,,,2010-07-31T00:00:00Z,31,7,2010,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.72202802,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.213Z,,,51.564578476222,3.5576516391619997,396035.9688913689,6721775.345815029
13,1956980505,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/72102149,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Kaatsheuvel - Polder Beoosten de 's-Gravenmoersche Vaart,Noord-Brabant,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.6,4.95,5000.0,,,,,,2012-11-11T00:00:00Z,11,11,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.72102149,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.211Z,,,51.648565337079,4.986558618256799,555101.1661951568,6736829.301824911
14,1957006837,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/72001303,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Venhorst,Noord-Brabant,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.6,5.7,5000.0,,,,,,2012-10-31T00:00:00Z,31,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.72001303,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.854Z,,,51.60810944774801,5.7386525400527,638823.8785981926,6729574.439022624
15,1957010366,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71990355,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Ede - Edese Heide,Gelderland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.0,5.7,5000.0,,,,,,2012-06-26T00:00:00Z,26,6,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71990355,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.211Z,,,52.040620287694,5.7036809918645,634930.8636616297,6807473.458380248
16,1957018796,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71953386,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Wapenveld,Gelderland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.4,6.05,5000.0,,,,,,2012-10-22T00:00:00Z,22,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71953386,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.199Z,,,52.430440673458,6.0776227712630995,676557.8721306124,6878331.996910286
17,1957031015,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71908947,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Kaatsheuvel - Polder Beoosten de 's-Gravenmoersche Vaart,Noord-Brabant,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.6,4.95,5000.0,,,,,,2012-10-28T00:00:00Z,28,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71908947,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.199Z,,,51.648557015724,4.986555936047799,555100.8676130166,6736827.808909718
18,1957031136,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71907633,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Oud-Alblas - dorp e.o.,Zuid-Holland,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,51.85,4.7,5000.0,,,,,,2012-10-15T00:00:00Z,15,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71907633,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.198Z,,,51.861406639641,4.7263929247856,526139.6536760639,6775104.6859563
19,1957041040,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/71870098,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,,SPECIES,"Episyrphus balteatus (De Geer, 1776)",Episyrphus balteatus,,NL,Zwolle - Westerveldse Bos,Overijssel,,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,52.5,6.05,5000.0,,,,,,2012-10-26T00:00:00Z,26,10,2012,1536449,1536449,HUMAN_OBSERVATION,,Observations,OBS.71870098,,,,CC_BY_NC_4_0,Stichting Natuurinformatie,,,,2019-09-20T20:15:42.212Z,,,52.545584529780996,6.0826706886292,677119.8037213732,6899381.739319265
